Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Multi Iterations 10/Cata Sum/100",7.684944551721394e-6,6.7474278457094046e-6,9.367821199009984e-6,3.924314760348147e-6,2.1784079223271067e-6,6.251354836533496e-6
"Multi Iterations 10/Cata Sum/215",1.3202201911410383e-5,1.2861227606395607e-5,1.3752968606573004e-5,1.270679788813202e-6,6.839947418508635e-7,1.963591416318967e-6
"Multi Iterations 10/Cata Sum/464",3.0844571018640566e-5,2.9431565910772277e-5,3.300320044630811e-5,5.70362369854998e-6,4.295239767899168e-6,7.232264649974031e-6
"Multi Iterations 10/Cata Sum/1000",8.291181486779445e-5,6.679807512427603e-5,1.2660023986938845e-4,7.8362693039683e-5,1.2398496000910814e-5,1.3952167016407534e-4
"Multi Iterations 10/Cata Sum/2154",1.5316202751949906e-4,1.4141739926554783e-4,1.8302918057204289e-4,6.782827968159512e-5,1.542749351704052e-5,1.2806552124077717e-4
"Multi Iterations 10/Cata Sum/4642",4.3642529676759595e-4,3.04768923354773e-4,9.396476023735068e-4,8.176348054811946e-4,2.9567202007837578e-5,1.735382439950127e-3
"Multi Iterations 10/Cata Sum/10000",8.106810257664125e-4,6.455778317114132e-4,1.4365520285088953e-3,1.0553180090659931e-3,7.563224034610978e-5,2.2433457894605203e-3
"Multi Iterations 10/Cata Sum/21544",1.8573872688295856e-3,1.7200505535694183e-3,2.0224312843931743e-3,5.60658598607986e-4,4.923326589521669e-4,6.644280984057762e-4
"Multi Iterations 10/Cata Sum/46416",3.932539162644904e-3,3.323583159125778e-3,5.200706075154464e-3,3.2824831161329115e-3,1.0206036301061193e-3,5.75858001379718e-3
"Multi Iterations 10/Cata Sum/100000",1.06293064748719e-2,9.712880825023197e-3,1.226738421366019e-2,3.1895484426951804e-3,2.499414496601846e-3,4.177983435205295e-3
"Multi Iterations 10/Generic Cata Sum/100",1.5137700371336803e-4,1.0205756863323665e-4,3.4638991649185784e-4,3.186543794942326e-4,8.703662138272074e-6,6.78564848799215e-4
"Multi Iterations 10/Generic Cata Sum/215",2.545030581385909e-4,2.476177239189762e-4,2.649538420776102e-4,2.8386667343284158e-5,1.5168297448727922e-5,4.1273384437925046e-5
"Multi Iterations 10/Generic Cata Sum/464",1.2300229857054074e-3,7.386749650646271e-4,2.2178395337246375e-3,2.338662491066976e-3,1.0193277405934982e-4,3.8596166079942996e-3
"Multi Iterations 10/Generic Cata Sum/1000",2.022565054530369e-3,1.7955370742846377e-3,3.046947696313689e-3,1.3554890278845043e-3,2.4013283261731412e-4,3.061328706859039e-3
"Multi Iterations 10/Generic Cata Sum/2154",4.559320402507741e-3,4.4343179344939095e-3,4.794821765923459e-3,5.6319147020494e-4,3.5609281188221653e-4,9.256387276616417e-4
"Multi Iterations 10/Generic Cata Sum/4642",1.1111468147916602e-2,1.0763172770334587e-2,1.1689037790608084e-2,1.1954387284171452e-3,9.016720334573848e-4,1.7072790433408326e-3
"Multi Iterations 10/Generic Cata Sum/10000",2.5891922641203838e-2,2.5414369535743362e-2,2.7200195841188175e-2,1.7688679423412117e-3,6.503220186011066e-4,3.072629328323575e-3
"Multi Iterations 10/Generic Cata Sum/21544",6.424853292205891e-2,6.186248603833753e-2,7.026382751499673e-2,5.866295676455558e-3,3.5002596108877283e-3,8.707912097847477e-3
"Multi Iterations 10/Generic Cata Sum/46416",0.16272290927239633,0.15553785067751438,0.1697457429737679,1.0495972165775419e-2,6.811210767615559e-3,1.4475417116427363e-2
"Multi Iterations 10/Generic Cata Sum/100000",0.39756190564285765,0.3943733450548758,0.40013448215205766,4.029734523471001e-3,0.0,4.455833220292502e-3
"Multi Iterations 10/Incremental Cata Sum/100",1.49256822823183e-4,1.3671044860504673e-4,1.6863822855861e-4,4.607596139509681e-5,2.321422619394982e-5,7.386348646804213e-5
"Multi Iterations 10/Incremental Cata Sum/215",4.281114408817778e-4,4.1005696152311916e-4,4.754771522708889e-4,8.434369987453542e-5,3.770891130360642e-5,1.4929933673191222e-4
"Multi Iterations 10/Incremental Cata Sum/464",1.5975400156087284e-3,1.4484106369045343e-3,2.086705775928009e-3,8.5524739062535e-4,2.199296153312298e-4,1.7195567066168233e-3
"Multi Iterations 10/Incremental Cata Sum/1000",4.014455732664599e-3,3.8433053138684095e-3,4.401652925618989e-3,8.27085892532609e-4,5.179437599503046e-4,1.4450002941856716e-3
"Multi Iterations 10/Incremental Cata Sum/2154",9.976456007997377e-3,9.630829082531094e-3,1.0604978807784098e-2,1.2184322977282908e-3,8.684536597542941e-4,1.762580930105249e-3
"Multi Iterations 10/Incremental Cata Sum/4642",2.2723053404849276e-2,2.206848794488624e-2,2.368403065863237e-2,1.7274036565315901e-3,9.66054752597858e-4,2.436439648903998e-3
"Multi Iterations 10/Incremental Cata Sum/10000",5.38387090019521e-2,5.156193053318741e-2,5.795746472905982e-2,5.598807151805777e-3,3.0939561130094804e-3,8.338476610143088e-3
"Multi Iterations 10/Incremental Cata Sum/21544",0.1250956628381425,0.12057679673373833,0.13165600565575633,7.783191463620739e-3,8.654342321425434e-4,9.424598945308296e-3
"Multi Iterations 10/Incremental Cata Sum/46416",0.31640692472794796,0.3034007326440151,0.3345081241972027,1.7405819959926367e-2,6.158658904093006e-3,2.2925107250912007e-2
"Multi Iterations 10/Incremental Cata Sum/100000",0.685893407615111,0.6718252697215448,0.6956384153883567,1.4648449806436778e-2,0.0,1.687884858341523e-2
